Country;City;HI_W (°C);HI_Sp (°C);HI_Su (°C);HI_A (°C)
Albania;Tirana;6,90;13,80;24,96;16,10
Algeria;Algiers;11,70;15,10;25,49;19,30
Algeria;Oran;11,30;15,30;25,20;18,70
Austria;Dornbirn;1,40;10,80;19,80;10,50
Austria;Fuschlsee;1,40;10,80;19,80;10,50
Austria;Salzburg;1,40;10,80;19,80;10,50
Austria;Vienna;1,40;10,80;19,80;10,50
Azerbaijan;Baku;5,30;12,80;26,62;16,80
Bahrain;Manama;18,10;27,38;44,46;33,12
Belgium;Brussels;3,70;9,60;17,30;10,80
Bulgaria;Sofia;0,40;10,50;20,40;11,00
Croatia;Srebreno;9,90;14,60;25,52;17,80
Croatia;Podstrana-Split;9,90;14,60;25,52;17,80
Croatia;Zagreb;2,60;12,30;21,10;11,90
Cyprus;Limassol;12,30;17,00;26,10;24,46
Czech Republic;Prague;1,70;10,30;19,30;10,40
Djibouti;Djibouti;26,80;32,03;38,29;32,93
Egypt;Cairo;14,50;20,90;28,65;24,79
Egypt;Dahab;16,40;24,32;28,69;25,52
Egypt;Luxor;17,30;27,15;39,06;29,59
Egypt;El Gouna;16,20;24,63;31,82;25,85
Egypt;Alexandria;14,30;18,70;27,37;24,64
Egypt;Sharm El Sheikh;16,30;24,67;31,64;25,85
Egypt;Soma Bay;16,50;24,60;30,70;25,80
Ethiopia;Addis Ababa;15,80;18,50;16,70;16,30
Finland;Helsinki;-3,90;4,00;16,10;6,20
France;Nice;9,70;14,20;24,99;17,10
France;Paris;5,30;11,80;19,70;12,70
Gabon;Libreville;30,15;30,14;26,76;28,51
Gabon;Port-Gentil;30,54;30,53;26,18;28,68
Gambia;Brufut Heights;24,84;26,37;28,81;27,75
Georgia;Batumi;7,80;12,30;24,51;16,00
Georgia;Tbilisi;2,40;12,30;24,88;13,70
Germany;Berlin;1,30;9,20;18,30;9,80
Germany;Dresden;0,80;9,20;18,20;9,80
Germany;Dusseldorf;3,30;10,30;18,20;11,20
Germany;Essen;3,00;9,40;17,20;10,40
Germany;Frankfurt;2,10;10,40;19,10;10,50
Germany;Hamburg;1,90;8,70;16,90;9,70
Germany;Hannover;1,80;9,00;17,40;10,00
Germany;Leipzig;1,10;8,90;17,90;9,70
Germany;Munich;-1,20;7,70;16,40;8,10
Germany;Nuremberg;0,40;9,10;18,30;9,30
Germany;Stuttgart;0,50;8,10;17,00;9,10
Germany;Weimar;0,20;8,00;16,60;8,80
Greece;Athens;10,70;16,40;28,54;19,70
Greece;Pylos;6,00;11,50;24,40;14,50
Greece;Crete;12,60;16,70;26,34;20,50
Greece;Mykonos;12,00;16,70;28,04;20,00
Greece;Rhodes;12,50;16,60;26,92;20,60
Greece;Santorini;10,70;16,40;29,97;19,70
Hungary;Kecskemet;1,80;12,00;21,10;11,40
Iraq;Dohuk;8,70;19,20;36,61;24,51
Ireland;Athlone;6,20;9,80;15,70;11,30
Ireland;Dublin;5,30;8,20;14,50;10,20
Israel;Tel Aviv;14,20;18,40;27,47;24,84
Italy;Bolzano;2,00;12,30;24,40;11,80
Italy;Catania;11,60;16,20;27,47;20,60
Italy;Porto Cervo;10,40;14,40;25,56;18,20
Italy;Florence;6,70;13,50;25,06;15,50
Italy;Como;3,70;12,70;25,09;13,30
Italy;Milan;2,50;12,30;24,54;13,00
Italy;Padova;3,30;12,60;24,55;13,50
Italy;Sistiana;6,10;12,90;24,70;14,90
Italy;Rome;7,90;13,80;25,70;16,70
Italy;Venice;3,30;12,30;24,66;13,30
Jordan;Amman;8,90;16,10;25,13;19,70
Kuwait;Kuwait;18,10;26,88;38,00;30,84
Lebanon;Broumana;14,90;18,90;27,88;25,26
Lebanon;Beirut;14,90;18,90;27,88;25,26
Libya;Tripoli;14,10;18,90;29,18;24,75
Malta;St. Julians;12,80;16,00;26,80;20,60
Mauritius;Le Morne;32,07;30,07;25,27;26,73
Mauritius;Pointe Aux Piments;32,07;30,07;25,27;26,73
Mauritius;Turtle Bay;31,66;28,67;25,10;26,70
Monacco;Monte Carlo;10,60;14,30;24,87;17,80
Morocco;Casablanca;13,40;16,30;24,62;19,20
Morocco;Marrakech;12,90;17,80;27,88;20,90
Netherlands;Amsterdam;3,60;9,40;16,80;10,90
Netherlands;The Hague;3,80;9,10;16,70;11,20
Nigeria;Abuja;26,48;27,49;25,80;25,82
Nigeria;Akwa Ibom;31,10;32,36;29,79;30,04
Nigeria;Lagos (Nigeria);32,03;33,34;28,69;29,76
Nigeria;Port Harcourt;31,10;32,36;29,79;30,04
Oman;Muscat;21,10;29,31;41,58;29,95
Poland;Krakow;-1,30;9,20;19,00;8,80
Poland;Poznan;-0,60;9,60;19,40;9,90
Poland;Sopot;-0,30;6,80;16,50;8,70
Poland;Warsaw;-1,90;8,00;18,40;8,40
Portugal;Albufeira;12,70;16,40;25,20;19,10
Portugal;Evora;10,30;14,90;24,83;17,70
Portugal;Lisbon;12,10;15,70;24,48;18,30
Qatar;Doha;18,30;28,19;48,43;31,16
Russia;Kaluga;-8,50;5,00;16,50;4,80
Russia;Moscow;-6,10;6,30;17,70;5,20
Russia;St. Petersburg;-5,30;4,60;16,80;5,50
Russia;Ufa;-12,20;4,20;17,90;3,20
Saudi Arabia;Al Khobar;16,70;29,03;49,75;31,63
Saudi Arabia;Dammam;16,70;29,03;49,75;31,63
Saudi Arabia;Jeddah;25,94;29,29;36,58;32,67
Saudi Arabia;Makkah;26,27;32,25;38,43;36,08
Saudi Arabia;Taif;15,90;24,17;26,91;24,34
Saudi Arabia;Medina;18,10;28,43;39,04;30,95
Saudi Arabia;Riyadh;18,70;27,89;38,48;27,62
Serbia;Belgrade;2,60;13,00;24,76;13,00
Seychelles;Mahé;30,00;31,71;28,98;29,48
Slovakia;Bratislava;0,80;10,80;20,00;10,50
Slovenia;Ljubljana;0,30;9,70;19,50;10,70
South Africa;Cape Town;20,60;17,40;12,60;16,10
South Africa;Pretoria;24,91;18,20;13,20;20,30
Spain;Barcelona;9,00;13,00;24,48;16,30
Spain;Elciego-Alava;6,60;12,70;24,48;14,50
Spain;Fuerteventura Island;18,20;19,60;25,41;24,84
Spain;Gran Canary Island;18,40;19,60;25,51;24,98
Spain;Madrid;7,00;13,10;24,68;14,90
Spain;Palma de Mallorca;12,30;15,60;25,96;19,60
Spain;San Sebastian;9,20;12,80;19,80;15,30
Spain;Sevilla;11,80;17,90;28,11;20,10
Spain;Tarragona;9,50;14,30;25,19;17,20
Spain;Tenerife;18,60;19,90;25,76;25,03
Spain;Valencia;12,20;15,90;25,74;19,00
Sweden;Stockholm;-2,30;5,30;16,80;7,40
Switzerland;Davos;-4,10;2,90;11,70;4,90
Switzerland;Geneve;2,20;10,10;19,10;10,70
Switzerland;Verbier;0,70;10,00;18,40;9,30
Switzerland;Zurich;-0,10;8,00;16,60;8,70
Syria;Aleppo;6,30;15,70;27,95;19,20
Syria;Damascus;6,70;15,00;26,18;17,50
Syria;Sednaya;7,40;15,70;26,60;17,90
Tajikistan;Dushanbe;5,40;15,10;26,04;15,50
Tunisia;Tunis;12,00;16,00;26,73;20,20
Turkey;Adana;10,00;17,00;27,67;21,00
Turkey;Ankara;-0,80;9,00;19,20;10,70
Turkey;Bodrum;12,20;17,30;28,29;21,00
Turkey;Bursa;6,40;13,10;25,05;15,70
Turkey;Cesme;9,90;16,40;28,35;19,40
Turkey;Istanbul;6,60;12,10;24,84;16,00
Turkey;Samsun;7,60;11,60;24,14;16,00
UAE;Abu Dhabi;18,80;25,72;37,16;29,63
UAE;Ajman;20,30;28,12;43,26;32,04
UAE;Dubai;20,30;28,12;43,26;32,04
UAE;Fujairah;18,80;27,02;38,75;28,38
Uganda;Kampala;25,19;25,07;24,61;24,76
Ukraine;Zaporozhye;-2,60;9,40;24,48;9,30
United Kingdom;Edinburgh;3,90;7,50;14,00;9,10
United Kingdom;Liverpool;5,00;9,00;15,50;10,80
United Kingdom;London;5,20;10,00;17,40;11,50
United Kingdom;Turnberry;4,50;7,90;14,00;9,50
